Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,193,Sao Tome and Principe,5922,Export Value,661,"Cocoa, beans",2011,5877,R,Estimated data using trading partners database
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2002,0,F,FAO estimate
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2003,45,,Official data
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2004,138,,Official data
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2005,0,*,Unofficial figure
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2006,16,,Official data
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2007,0,*,Unofficial figure
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2009,0,F,FAO estimate
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2010,0,F,FAO estimate
TP,Crops and livestock products,194,Saudi Arabia,5922,Export Value,661,"Cocoa, beans",2011,0,F,FAO estimate
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2000,1700,F,FAO estimate
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2001,2586,F,FAO estimate
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2002,3605,*,Unofficial figure
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2003,8065,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2004,10428,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2005,14078,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2006,13563,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2007,20275,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2008,23087,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2009,23000,F,FAO estimate
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2010,27588,R,Estimated data using trading partners database
TP,Crops and livestock products,197,Sierra Leone,5922,Export Value,661,"Cocoa, beans",2011,30295,R,Estimated data using trading partners database
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2001,0,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2002,0,F,FAO estimate
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2003,2,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2004,14,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2005,2,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2006,0,*,Unofficial figure
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2007,3,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2008,0,*,Unofficial figure
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2009,1,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2010,83,,Official data
TP,Crops and livestock products,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2011,7,,Official data
TP,Crops and livestock products,199,Slovakia,5922,Export Value,661,"Cocoa, beans",2000,0,,Official data
TP,Crops and livestock products,199,Slovakia,5922,Export Value,661,"Cocoa, beans",2001,0,,Official data
