NoRecords,RecordOrder,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
7971,1,TM,Detailed trade matrix,3,Albania,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2009,2009,tonnes,0,,Official data
7971,2,TM,Detailed trade matrix,3,Albania,255,Belgium,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,0,,Official data
7971,3,TM,Detailed trade matrix,3,Albania,84,Greece,5610,Import Quantity,661,"Cocoa, beans",2003,2003,tonnes,1,,Official data
7971,4,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2000,2000,tonnes,0,,Official data
7971,5,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2004,2004,tonnes,2,,Official data
7971,6,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2009,2009,tonnes,0,,Official data
7971,7,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2010,2010,tonnes,0,,Official data
7971,8,TM,Detailed trade matrix,3,Albania,106,Italy,5610,Import Quantity,661,"Cocoa, beans",2011,2011,tonnes,4,,Official data
7971,9,TM,Detailed trade matrix,4,Algeria,32,Cameroon,5610,Import Quantity,661,"Cocoa, beans",2003,2003,tonnes,50,,Official data
7971,10,TM,Detailed trade matrix,4,Algeria,37,Central African Republic,5610,Import Quantity,661,"Cocoa, beans",2003,2003,tonnes,49,,Official data
7971,11,TM,Detailed trade matrix,4,Algeria,351,China,5610,Import Quantity,661,"Cocoa, beans",2001,2001,tonnes,16,,Official data
7971,12,TM,Detailed trade matrix,4,Algeria,41,"China, mainland",5610,Import Quantity,661,"Cocoa, beans",2001,2001,tonnes,16,,Official data
7971,13,TM,Detailed trade matrix,4,Algeria,46,Congo,5610,Import Quantity,661,"Cocoa, beans",2002,2002,tonnes,25,,Official data
7971,14,TM,Detailed trade matrix,4,Algeria,46,Congo,5610,Import Quantity,661,"Cocoa, beans",2003,2003,tonnes,25,,Official data
7971,15,TM,Detailed trade matrix,4,Algeria,107,C̫te d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2000,2000,tonnes,1512,,Official data
7971,16,TM,Detailed trade matrix,4,Algeria,107,C̫te d'Ivoire,5610,Import Quantity,661,"Cocoa, beans",2001,2001,tonnes,2647,,Official data
