Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2003,11,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2004,11,F,FAO estimate
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2005,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2006,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2007,5,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2008,5,F,FAO estimate
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2009,5,F,FAO estimate
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2010,0,R,Estimated data using trading partners database
TP,Crops and livestock products,7,Angola,5610,Import Quantity,661,"Cocoa, beans",2011,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2000,0,*,Unofficial figure
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2001,0,*,Unofficial figure
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2002,1,*,Unofficial figure
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2003,0,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2004,0,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2005,1,,Official data
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2006,4,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2007,0,R,Estimated data using trading partners database
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2008,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2009,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2010,0,F,FAO estimate
TP,Crops and livestock products,8,Antigua and Barbuda,5610,Import Quantity,661,"Cocoa, beans",2011,0,*,Unofficial figure
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2000,150,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2001,194,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2002,191,*,Unofficial figure
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2003,224,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2004,246,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2005,246,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2006,234,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2007,258,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2008,347,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2009,380,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2010,396,,Official data
TP,Crops and livestock products,9,Argentina,5610,Import Quantity,661,"Cocoa, beans",2011,451,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2000,71,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2001,67,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2002,162,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2003,115,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2004,94,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2005,245,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2006,125,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2007,208,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2008,149,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2009,167,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2010,199,,Official data
TP,Crops and livestock products,10,Australia,5610,Import Quantity,661,"Cocoa, beans",2011,175,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2000,19099,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2001,22849,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2002,22338,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2003,24864,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2004,23136,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2005,9904,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2006,8805,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2007,10852,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2008,11134,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2009,18223,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2010,12308,,Official data
TP,Crops and livestock products,11,Austria,5610,Import Quantity,661,"Cocoa, beans",2011,13162,,Official data
TP,Crops and livestock products,12,Bahamas,5610,Import Quantity,661,"Cocoa, beans",2000,1,,Official data
TP,Crops and livestock products,12,Bahamas,5610,Import Quantity,661,"Cocoa, beans",2001,2,,Official data
TP,Crops and livestock products,12,Bahamas,5610,Import Quantity,661,"Cocoa, beans",2002,0,,Official data
TP,Crops and livestock products,12,Bahamas,5610,Import Quantity,661,"Cocoa, beans",2003,0,,Official data
TP,Crops and livestock products,12,Bahamas,5610,Import Quantity,661,"Cocoa, beans",2004,0,,Official data
